,Lat,Lng,Price,Tempature (C),ZipCode
6,37.79,-122.42,1303500,12.15,94109
11,33.91,-118.35,536400,15.87,90250
18,34.11,-118.37,1033800,15.8,90046
39,37.77,-122.26,813600,12.14,94501
43,37.75,-122.42,1358900,12.08,94110
45,34.03,-118.4,938600,16.0,90034
50,33.96,-118.29,388300,15.81,90044
52,33.91,-118.08,428400,15.82,90650
53,33.86,-118.18,411000,15.82,90805
60,33.75,-117.99,494800,15.78,92683
65,38.67,-121.15,347800,12.0,95630
66,32.64,-117.07,374900,15.25,91910
69,38.45,-122.26,496600,12.67,94558
85,36.79,-119.88,165100,13.32,93722
88,38.63,-121.33,302300,12.89,95608
89,38.27,-122.04,267800,12.63,94533
98,34.0,-118.43,1032500,15.8,90066
105,33.51,-117.71,528400,16.0,92677
106,33.98,-117.73,394800,15.89,91709
112,38.48,-121.44,188000,13.0,95823
113,33.82,-117.97,375700,15.78,92804
119,32.8,-117.24,719900,15.67,92109
122,34.05,-118.33,908300,15.81,90019
123,32.61,-117.06,345100,15.09,91911
130,34.42,-117.3,187100,15.11,92345
135,33.92,-117.46,300500,16.09,92503
139,32.92,-117.14,363300,15.67,92126
141,33.97,-118.15,450100,15.82,90201
150,33.95,-118.2,407500,15.82,90280
152,33.5,-117.1,334200,15.9,92592
155,34.08,-118.3,901100,15.81,90004
156,34.12,-117.44,296200,15.31,92336
165,33.89,-118.13,463800,15.82,90706
172,34.08,-117.46,269200,15.31,92335
173,32.82,-116.92,358500,15.5,92021
179,34.27,-118.77,422200,15.7,93065
185,32.72,-117.16,636200,15.54,92101
186,34.31,-118.43,407200,14.8,91342
189,33.65,-117.92,638700,15.89,92627
195,34.01,-118.26,372700,15.81,90011
202,34.04,-118.45,850200,16.0,90025
204,34.1,-118.29,1104000,15.82,90027
216,33.73,-118.29,498400,15.87,90731
221,34.2,-118.54,456900,15.06,91335
225,37.25,-121.83,517200,12.39,95123
229,37.64,-122.07,462700,12.09,94544
234,34.41,-118.09,207000,14.19,93550
239,38.77,-121.34,397100,12.22,95747
240,35.34,-119.06,130100,6.52,93309
250,38.35,-121.95,319700,12.9,95687
252,37.76,-122.48,1269600,12.08,94122
255,34.01,-117.68,322200,15.78,91710
261,34.71,-117.88,167200,10.71,93535
264,34.75,-118.37,218500,9.58,93536
265,36.07,-119.03,129200,12.05,93257
267,36.75,-119.71,155200,13.32,93727
272,35.39,-118.94,134700,6.6,93306
