,Lat,Lng,Price,Tempature (C),ZipCode
0,40.8,-73.97,1469200.0,1.15,10025
1,41.97,-87.66,254300.0,3.12,60640
2,41.92,-87.7,330000.0,3.11,60647
3,41.95,-87.7,275700.0,3.11,60618
4,29.54,-95.32,162400.0,11.51,77584
5,32.66,-97.03,129100.0,12.0,75052
6,38.92,-77.04,636200.0,4.76,20009
7,38.9,-76.99,551700.0,5.0,20002
8,33.94,-84.07,132800.0,8.56,30044
9,41.97,-87.7,194000.0,3.11,60625
10,34.03,-118.4,938600.0,16.4,90034
11,33.96,-118.29,388300.0,16.38,90044
12,33.91,-118.08,428400.0,16.41,90650
13,33.86,-118.18,411000.0,16.41,90805
14,33.02,-96.99,232000.0,12.06,75067
15,39.94,-75.23,44000.0,2.67,19143
16,42.23,-83.63,103700.0,0.66,48197
17,32.21,-110.82,121100.0,26.0,85710
18,30.21,-97.8,245300.0,11.42,78745
19,38.45,-122.26,496600.0,12.89,94558
20,30.27,-81.75,94800.0,9.49,32210
21,41.9,-87.63,415000.0,3.12,60610
22,42.25,-71.0,332300.0,-0.5,02169
23,36.79,-119.88,165100.0,12.99,93722
24,38.63,-121.33,302300.0,13.34,95608
25,40.07,-82.4,80700.0,1.22,43055
26,36.31,-86.61,137500.0,6.2,37075
27,41.69,-81.34,94900.0,2.49,44060
28,33.51,-117.71,528400.0,16.62,92677
29,33.98,-117.73,394800.0,16.55,91709
30,41.74,-87.65,118400.0,2.7,60620
31,33.15,-96.82,307600.0,11.86,75034
32,40.78,-73.95,1980000.0,1.79,10028
33,41.95,-87.81,187900.0,3.11,60634
34,38.95,-77.02,435900.0,4.6,20011
35,42.05,-87.89,133800.0,3.09,60016
36,26.5,-81.93,170900.0,17.73,33908
37,34.42,-117.3,187100.0,16.21,92345
38,40.64,-73.9,400300.0,1.24,11236
39,40.06,-75.08,188500.0,2.22,19111
40,34.97,-81.05,94500.0,8.25,29732
41,35.77,-78.6,117100.0,4.45,27610
42,29.89,-95.65,140200.0,11.6,77095
43,38.64,-77.27,267800.0,4.3,22191
44,42.01,-87.67,148500.0,3.22,60626
45,47.84,-122.2,343400.0,7.39,98012
46,34.12,-117.44,296200.0,16.15,92336
47,41.42,-87.36,147700.0,2.14,46307
48,25.87,-80.31,145700.0,18.5,33012
49,36.83,-76.02,164600.0,6.9,23454
50,32.82,-116.92,358500.0,16.42,92021
51,38.89,-76.94,265300.0,4.6,20019
52,41.04,-83.65,109600.0,1.0,45840
53,35.62,-77.4,57300.0,6.71,27834
54,34.11,-84.51,162200.0,8.01,30188
55,40.77,-73.96,1699000.0,1.79,10021
56,35.05,-106.73,119900.0,13.26,87121
57,39.93,-82.0,75200.0,1.75,43701
58,26.28,-80.12,152800.0,18.63,33064
59,26.38,-81.73,217000.0,17.72,34135
60,40.95,-73.87,384700.0,0.72,10701
61,34.2,-118.54,456900.0,15.75,91335
62,37.25,-121.83,517200.0,12.67,95123
63,41.84,-87.63,314100.0,2.7,60616
64,37.64,-122.07,462700.0,12.54,94544
65,41.91,-70.64,294900.0,-0.92,02360
66,38.91,-77.02,634400.0,4.81,20001
67,36.04,-115.15,185700.0,19.6,89123
68,39.04,-77.48,298300.0,4.13,20147
69,38.23,-84.87,97300.0,3.73,40601
70,40.24,-75.3,207100.0,2.01,19446
71,38.35,-121.95,319700.0,13.44,95687
72,33.09,-96.88,243000.0,12.07,75056
73,40.72,-74.05,781200.0,1.15,07302
74,30.35,-81.51,114900.0,10.16,32225
75,36.75,-119.71,155200.0,13.0,93727
76,40.03,-75.12,81600.0,2.39,19120
77,41.99,-87.66,226200.0,3.12,60660
78,44.05,-92.49,157700.0,3.25,55901
79,39.59,-75.65,153200.0,3.14,19720
80,39.63,-104.79,272500.0,19.14,80015
81,38.42,-121.44,284200.0,13.5,95758
82,39.12,-76.5,217500.0,4.93,21122
83,36.26,-115.17,166300.0,19.32,89031
84,37.53,-121.97,578000.0,12.9,94538
85,34.92,-81.01,85900.0,8.23,29730
86,34.09,-80.92,75700.0,9.76,29223
87,35.76,-81.33,87500.0,7.61,28601
88,33.77,-118.18,407000.0,16.37,90802
89,38.58,-90.53,142500.0,9.47,63021
90,32.76,-117.07,415300.0,16.46,92115
91,36.12,-80.08,94100.0,5.68,27284
92,40.17,-80.26,99600.0,2.39,15301
93,36.2,-119.34,129000.0,12.27,93274
94,36.33,-119.65,131800.0,12.5,93230
95,42.53,-70.96,330000.0,-0.28,01960
96,38.89,-94.82,115400.0,7.67,66061
97,33.47,-112.0,148100.0,23.2,85008
98,28.54,-81.59,129300.0,15.62,34787
99,36.02,-78.95,152800.0,4.01,27705
100,38.82,-97.64,75900.0,10.0,67401
101,38.61,-121.28,251400.0,13.34,95670
102,45.66,-122.52,228900.0,8.42,98682
103,30.49,-84.32,87700.0,11.52,32303
104,33.45,-84.15,86100.0,8.37,30253
105,34.33,-89.48,137300.0,5.86,38655
106,33.14,-96.75,259900.0,11.8,75035
107,42.56,-114.47,108300.0,2.68,83301
108,30.4,-97.75,242400.0,11.43,78759
109,36.01,-86.79,238400.0,6.32,37027
110,35.02,-85.15,138300.0,8.0,37421
111,35.22,-80.79,183000.0,7.0,28205
112,39.07,-77.0,184800.0,4.69,20904
113,37.93,-121.69,519000.0,13.07,94513
114,43.12,-89.35,169000.0,3.25,53704
115,34.75,-82.25,133500.0,10.14,29681
116,21.28,-157.83,606500.0,26.01,96815
117,34.07,-118.35,1244800.0,16.36,90036
118,26.13,-80.26,169200.0,18.56,33324
119,47.89,-122.2,299800.0,6.86,98208
120,42.93,-83.63,146600.0,1.57,48439
121,33.01,-117.07,462700.0,16.42,92128
122,40.79,-74.03,317100.0,0.91,07047
123,42.41,-71.01,340500.0,-0.25,02151
124,26.1,-80.18,345700.0,18.56,33308
