Zipcode,Population,Median Age, Household Income ,Per Capita Income,Poverty Count,Poverty Rate
1001,17423,45," 56,714 ",30430,1462,8.391207025
1002,29970,23.2," 48,923 ",26072,8351,27.8645312
1003,11296,19.9," 2,499 ",3829,54,0.478045326
1005,5228,44.1," 70,568 ",32169,230,4.399387911
1007,14888,42.5," 80,502 ",36359,1410,9.47071467
1008,1194,48.5," 67,250 ",34505,49,4.103852596
1009,237,62.2," (666,666,666)",26150,105,44.30379747
1010,3718,46.6," 83,273 ",38693,95,2.555137171
1011,1523,41," 74,722 ",29951,110,7.222586999
1012,528,50.5," 60,417 ",34032,60,11.36363636
1013,22943,35," 40,876 ",21677,4233,18.45007192
1020,30629,44.5," 57,851 ",29705,3166,10.3366091
1022,2528,41.1," 44,701 ",26605,644,25.47468354
1026,1018,51.2," 50,924 ",28269,45,4.42043222
1027,17872,45.1," 61,217 ",33598,1774,9.92614145
1028,16063,46," 83,003 ",39282,677,4.214654797
1029,760,47.9," 54,375 ",32415,96,12.63157895
1030,11278,44.9," 64,874 ",32812,1124,9.966306083
1031,1192,43.2," 39,327 ",26153,268,22.48322148
1032,590,49.3," 73,750 ",36045,15,2.542372881
1033,6310,45.5," 86,951 ",39115,290,4.595879556
1034,2323,46.6," 82,159 ",32783,230,9.900990099
1035,5338,46.3," 62,634 ",40287,384,7.193705508
1036,5190,48.7," 80,375 ",38547,256,4.93256262
1037,755,50.3," 80,417 ",33913,86,11.39072848
1038,2853,50.7," 65,887 ",35804,157,5.50297932
1039,1194,54," 74,107 ",43845,78,6.532663317
1040,40280,34.4," 38,829 ",21897,11227,27.87239325
1050,2343,45.7," 72,386 ",29854,221,9.432351686
1053,1697,49.8," 66,528 ",30391,251,14.79080731
1054,1972,48," 86,771 ",45344,84,4.259634888
1056,21352,44.2," 64,537 ",31897,1124,5.264143874
1057,8773,45.5," 74,439 ",33763,496,5.653710247
1060,15407,35," 56,128 ",35487,2258,14.65567599
1062,10867,43.8," 73,913 ",39024,1445,13.29713812
1063,563,20.3," (666,666,666)",3134,0,0
1066,12,-666666666," (666,666,666)",,0,0
1068,1825,45," 85,052 ",34288,62,3.397260274
1069,8753,44," 57,994 ",30199,591,6.751970753
1070,562,52.7," 55,208 ",30773,60,10.67615658
1071,1271,47.9," 70,938 ",34924,17,1.337529504
1072,1542,46.8," 75,658 ",36704,187,12.12710765
1073,6081,48.4," 90,318 ",44278,251,4.12761059
1074,228,35.2," (666,666,666)",16890,0,0
1075,17770,40.8," 61,821 ",30822,1524,8.57625211
1077,9650,45.7," 76,576 ",36861,554,5.740932642
1079,811,42.8," 31,778 ",24201,74,9.124537608
1080,2452,33.5," 51,023 ",23489,773,31.52528548
1081,1823,43.5," 51,182 ",25679,100,5.485463522
1082,10612,43.2," 52,178 ",27773,1434,13.51300415
1083,3148,36.3," 45,954 ",22559,245,7.782719187
1084,154,61.5," 68,750 ",50727,0,0
1085,41479,39," 63,283 ",29597,3679,8.869548446
1086,690,19.2," (666,666,666)",3293,0,0
1088,433,53.1," 61,875 ",34560,33,7.621247113
1089,28575,39.1," 50,649 ",28438,3733,13.06386702
1092,1191,46.8," 77,150 ",40211,176,14.7774979
1093,289,54.1," 84,167 ",48793,16,5.53633218
1094,347,53.7," 18,454 ",29174,26,7.492795389
1095,14569,47.6," 95,679 ",40989,547,3.754547327
1096,2564,44.3," 73,589 ",33768,224,8.736349454
1097,78,19.7," 31,250 ",9374,42,53.84615385
1098,1117,50," 77,083 ",41124,65,5.81915846
1103,2430,33.3," 16,760 ",21928,1333,54.85596708
1104,23183,35.2," 28,590 ",18983,7215,31.1219428
1105,11576,30.6," 16,455 ",13855,6260,54.07740152
1106,15983,46.4," 105,822 ",52705,640,4.00425452
1107,11474,29.1," 22,956 ",13711,5176,45.11068503
1108,28449,31.4," 36,890 ",18466,8447,29.69172906
1109,30139,27.4," 35,076 ",14977,8147,27.03142108
1118,14293,38.6," 60,295 ",27870,2027,14.1817673
1119,13091,35.4," 49,083 ",22333,1952,14.91100756
1128,2695,47.6," 70,078 ",33845,58,2.152133581
1129,7220,41.5," 60,776 ",27405,1010,13.98891967
1151,9295,32," 36,541 ",16820,2611,28.09037117
1199,0,-666666666," (666,666,666)",-666666666,0,
1201,45001,43.4," 45,893 ",28433,7152,15.89298016
1220,8266,45.1," 48,422 ",27309,852,10.30728285
1222,829,49.2," 76,944 ",41175,45,5.428226779
1223,2247,52.2," 72,981 ",39324,129,5.740987984
1224,176,49.9," 36,324 ",23039,20,11.36363636
1225,3192,49," 58,145 ",32108,154,4.824561404
1226,6885,47.2," 57,202 ",32405,732,10.63180828
1229,102,62.8," 27,083 ",19587,5,4.901960784
1230,8195,49.4," 59,702 ",35371,439,5.356924954
1235,2666,47.6," 60,718 ",32438,185,6.939234809
1236,1422,42.3," 80,385 ",32117,20,1.406469761
1237,2755,43.3," 83,311 ",31664,123,4.4646098
1238,5950,48.7," 63,109 ",35946,607,10.20168067
1240,4592,58.3," 54,250 ",48764,353,7.68728223
1242,429,32," 56,840 ",25313,3,0.699300699
1243,381,56.4," 76,250 ",46979,26,6.824146982
1244,82,60.3," (666,666,666)",51809,9,10.97560976
1245,870,54.7," 66,136 ",42633,106,12.18390805
1247,15725,44.4," 38,007 ",23957,2580,16.40699523
1253,734,51.9," 71,010 ",39333,20,2.72479564
1254,985,58.7," 89,583 ",67264,68,6.903553299
1255,869,50.5," 67,333 ",36881,36,4.14269275
1256,764,47.9," 49,000 ",27351,58,7.591623037
1257,2164,52.6," 50,688 ",34538,341,15.75785582
1258,359,63," 65,739 ",45881,29,8.077994429
1259,556,60.2," 61,125 ",56822,40,7.194244604
1260,545,42.9," 101,979 ",26842,26,4.770642202
1262,1196,54.3," 45,500 ",38899,164,13.71237458
1264,161,61.4," 75,417 ",45563,26,16.14906832
1266,1380,56.6," 68,542 ",46857,64,4.637681159
1267,7846,31.2," 73,085 ",30864,584,7.443283202
1270,814,51.2," 71,250 ",38157,70,8.5995086
1301,17730,42.6," 49,024 ",28633,2217,12.50423012
1330,1468,50.2," 79,118 ",40071,81,5.517711172
1331,13205,43.9," 51,750 ",25349,2020,15.2972359
1337,2598,50.6," 65,139 ",33697,188,7.236335643
1338,138,60.6," 66,375 ",25680,5,3.623188406
1339,1461,49.4," 51,346 ",31610,152,10.40383299
1340,1689,51.9," 54,063 ",29598,212,12.5518058
1341,1716,50.2," 89,688 ",44806,48,2.797202797
1342,1768,47.4," 102,219 ",46922,164,9.2760181
1343,46,59.1," 83,125 ",40280,0,0
1344,1582,41.6," 61,563 ",27271,201,12.70543616
1346,465,50.1," 56,500 ",33586,49,10.53763441
1347,133,38.9," 39,211 ",19143,22,16.54135338
1349,1106,42.1," 60,493 ",25594,47,4.24954792
1350,95,45.5," 31,750 ",22175,6,6.315789474
1351,2312,46.4," 81,833 ",39407,190,8.21799308
1354,1656,44.4," 74,167 ",33295,132,7.971014493
1355,915,51.5," 68,681 ",36187,56,6.120218579
1360,3006,45.7," 63,963 ",33157,127,4.224883566
1364,7832,46.5," 37,911 ",22077,1049,13.39376915
1366,1202,50.5," 65,774 ",35322,55,4.575707155
1367,686,42.2," 50,357 ",25178,151,22.01166181
1368,1363,48.3," 67,333 ",28429,138,10.12472487
1370,3879,51.4," 54,803 ",36488,378,9.744779582
1373,4184,46.8," 71,174 ",36138,234,5.592734226
1375,3673,27.7," 53,934 ",34286,645,17.56057718
1376,5101,43.8," 41,836 ",25130,1038,20.34895119
1378,734,54.8," 56,985 ",31262,64,8.719346049
1379,775,52," 44,750 ",29457,126,16.25806452
1420,40441,34.6," 50,617 ",23622,7368,18.21913405
1430,6171,42.3," 86,219 ",35860,375,6.07681089
1431,3196,45.4," 89,934 ",32514,246,7.697121402
1432,7594,38.8," 77,462 ",42565,899,11.83829339
1434,1716,43," 54,318 ",15055,150,8.741258741
1436,3823,40.8," 77,083 ",28266,328,8.57964949
1438,635,48.4," 70,028 ",27062,161,25.35433071
1440,20334,39.8," 46,410 ",24680,3637,17.88629881
1450,11182,45.1," 117,500 ",50656,441,3.943838312
1451,4629,47.6," 140,192 ",64234,201,4.342190538
1452,4537,44.5," 84,803 ",34042,223,4.915142164
1453,41336,40.8," 56,577 ",29527,5604,13.55718986
1460,9538,45.2," 108,704 ",49488,268,2.809813378
1462,11087,45.7," 89,706 ",40771,809,7.29683413
1463,12031,43.5," 84,980 ",37824,589,4.895686144
1464,7433,43," 68,864 ",29748,622,8.368088255
1467,560,51," 131,667 ",47052,84,15
1468,3704,47.7," 62,589 ",37560,201,5.426565875
1469,7430,39.3," 81,317 ",35376,373,5.020188425
1473,7480,44.7," 96,953 ",41812,210,2.807486631
